iter	Passed	Remaining
0	1	170
1	3	185
2	5	169
3	6	161
4	8	163
5	10	163
6	12	166
7	14	165
8	16	166
9	18	162
10	20	163
11	21	160
12	23	157
13	25	158
14	28	159
15	30	158
16	31	155
17	34	154
18	36	155
19	38	153
20	40	150
21	42	149
22	44	147
23	45	145
24	47	142
25	49	139
26	50	137
27	52	135
28	54	132
29	55	129
30	57	127
31	58	124
32	60	122
33	61	120
34	63	117
35	64	115
36	66	113
37	68	111
38	69	108
39	71	106
40	72	104
41	73	101
42	74	99
43	76	96
44	77	94
45	78	92
46	80	90
47	81	88
48	82	85
49	83	83
50	84	81
51	86	79
52	87	77
53	88	75
54	89	73
55	90	71
56	91	69
57	92	67
58	93	65
59	94	63
60	95	61
61	96	59
62	97	57
63	98	55
64	99	53
65	100	51
66	101	50
67	102	48
68	104	46
69	105	45
70	108	44
71	109	42
72	111	41
73	113	39
74	114	38
75	116	36
76	118	35
77	119	33
78	121	32
79	123	30
80	125	29
81	127	27
82	129	26
83	130	24
84	132	23
85	134	21
86	135	20
87	137	18
88	139	17
89	141	15
90	143	14
91	144	12
92	146	11
93	148	9
94	150	7
95	151	6
96	153	4
97	154	3
98	156	1
99	158	0
